Format Version,1.0,
Take Name,TrunkStability_DS_MOCAP_Raw_9,
Capture Frame Rate,1920.00,
Export Frame Rate,120.00,
Capture Start Time,09 Aug 2021 09:22:57 -0400,
Total Frames In Take,1605,
Total Exported Frames,25680,
Coordinate Space,Local,
Device Name,NIDAQ USB-6343 (BNC) 31369206,
Device Type,1,
Device Channel Count,10,
Mocap Rate,120.00,
Mocap Rate Multiple,16.00

MocapFrame, MocapTime, DeviceFrame,ESR,ESL,IntOblR,IntOblL,LatR,LatL,AbsR,AbsL,ExtOblR,ExtOblL
8,0.066667,138,-0.001368,-0.006953,0.017029,0.021628,0.015058,-0.011224,-0.029949,0.020971,0.013086,0.013086
8,0.066667,139,-0.000711,-0.011552,0.019328,0.020971,0.010458,-0.008924,-0.029949,0.020314,0.014072,0.013415
8,0.066667,140,-0.004982,-0.006953,0.018343,0.020971,0.013415,-0.009253,-0.030606,0.022942,0.016372,0.026227
8,0.066667,141,-0.003668,0.005859,0.019985,0.021299,0.013744,-0.008924,-0.028307,0.027213,0.014401,0.032797
8,0.066667,142,0.003888,0.001917,0.021628,0.024585,0.011772,-0.006624,-0.031263,0.021299,0.050866,0.022942
8,0.066667,143,0.005859,0.002902,0.021956,0.025570,-0.000711,-0.006624,-0.031920,0.021628,0.026556,0.047581
9,0.075000,144,0.008816,-0.000383,0.022613,0.025242,0.014729,-0.018780,-0.031263,0.022285,0.035754,0.041010
9,0.075000,145,0.009144,-0.003996,0.021299,0.022942,0.011444,-0.008596,-0.031920,0.026227,0.034112,0.046924
9,0.075000,146,-0.002354,-0.006953,0.019657,0.019000,0.013415,-0.006953,-0.032906,0.022613,0.030169,0.055794
9,0.075000,147,-0.002354,-0.014509,0.023928,0.008487,0.012429,-0.006624,-0.028307,0.021956,0.036411,0.069263
9,0.075000,148,-0.002682,-0.018123,0.024585,0.026227,0.003560,-0.005639,-0.027650,0.023270,0.037397,0.056779
9,0.075000,149,-0.003011,-0.022065,0.020971,0.025242,0.008816,-0.011224,-0.025678,0.021628,0.027541,0.060393
9,0.075000,150,0.003231,-0.020094,0.019328,0.028855,0.008487,0.003888,-0.022065,0.023270,0.006845,0.047909
9,0.075000,151,-0.004653,-0.021079,0.020642,0.027870,0.012101,0.005531,-0.027321,0.024256,0.034440,0.039368
9,0.075000,152,-0.000383,-0.016480,0.027213,0.016700,0.014729,0.004545,-0.026335,0.027870,0.013415,0.041667
9,0.075000,153,-0.001368,-0.019108,0.021956,0.025242,0.018014,0.002574,-0.026993,0.026884,0.017686,0.038711
9,0.075000,154,-0.001368,-0.019108,0.022942,0.021628,0.017029,0.012101,-0.025021,0.025242,0.014072,0.039696
9,0.075000,155,-0.003339,-0.010895,0.020642,0.020971,0.020642,0.009144,-0.031263,0.030169,0.013744,0.038382
9,0.075000,156,-0.001040,-0.011881,0.025570,0.018014,0.021628,0.010787,-0.032577,0.026227,0.015058,0.042324
9,0.075000,157,0.000274,-0.009910,0.017686,0.017357,0.020971,0.011772,-0.032577,0.024585,0.038382,0.048566
9,0.075000,158,-0.002354,-0.002025,0.017686,0.020971,0.019000,0.017029,-0.031592,0.023599,0.025242,0.034112
9,0.075000,159,-0.000383,-0.000054,0.019000,0.019657,0.014401,0.012101,-0.028635,0.030169,0.018014,0.024256
10,0.083333,160,0.005202,-0.003339,0.018343,0.016043,0.016043,0.017686,-0.026664,0.025242,0.002245,0.011444
10,0.083333,161,-0.001368,-0.009581,0.017357,0.018014,0.015715,0.015715,-0.027650,0.029512,0.000274,0.017029
10,0.083333,162,-0.003011,-0.022393,0.018671,0.018343,0.014072,0.015715,-0.026664,0.025570,-0.020751,0.008159
10,0.083333,163,-0.003339,-0.013523,0.020971,0.019985,0.010130,0.012758,-0.027978,0.024256,-0.004325,0.010130
10,0.083333,164,-0.015166,-0.013852,0.018343,0.019657,0.007830,0.011772,-0.034220,0.024913,0.009473,0.004545
10,0.083333,165,-0.004325,-0.015166,0.019000,0.021299,0.003888,0.010787,-0.026993,0.018343,-0.012538,-0.004653
10,0.083333,166,-0.005967,-0.014837,0.021299,0.026556,-0.000711,0.012101,-0.029292,0.023928,0.006845,-0.014180
10,0.083333,167,-0.005310,-0.012538,0.017686,0.018671,-0.002025,0.009801,-0.029949,0.021299,0.002245,0.008487
10,0.083333,168,-0.001368,-0.012538,0.016700,0.024913,-0.003339,0.005531,-0.031592,0.022942,0.011444,0.004545
10,0.083333,169,0.003231,-0.009910,0.018343,0.024585,-0.004982,0.012101,-0.030606,0.020971,0.001260,0.010130
10,0.083333,170,-0.002354,-0.008596,0.021628,0.025242,-0.005967,0.009144,-0.029292,0.023270,-0.010238,0.019000
10,0.083333,171,-0.002682,-0.010895,0.012429,0.026556,-0.005310,0.008487,-0.029621,0.020642,0.026556,0.003231
10,0.083333,172,-0.004653,-0.013523,0.016043,0.026884,-0.006953,0.006516,-0.031592,0.023270,0.018014,0.041010
10,0.083333,173,-0.005639,-0.010895,0.016700,0.028527,0.001588,0.002245,-0.029621,0.023599,0.023270,0.036083
10,0.083333,174,-0.005639,-0.008596,0.019328,0.029512,0.000274,0.005859,-0.030278,0.024585,0.015386,0.040025
10,0.083333,175,-0.004653,-0.015166,0.020642,0.026227,0.003231,0.004545,-0.029292,0.021628,0.005202,0.035097
11,0.091667,176,-0.003339,-0.009581,0.022285,0.020314,0.001260,0.006188,-0.029292,0.025242,0.033783,0.039696
11,0.091667,177,-0.001040,-0.009581,0.021956,0.026227,-0.000383,0.006188,-0.026993,0.022613,0.029184,0.043967
11,0.091667,178,-0.001040,-0.008924,0.019985,0.025899,0.004545,0.001917,-0.022065,0.022942,0.033783,0.039039
11,0.091667,179,-0.005639,-0.008596,0.020642,0.025899,0.008816,0.000931,-0.035205,0.029841,0.053822,0.060721
11,0.091667,180,0.000931,-0.006624,0.015715,0.027213,0.011772,-0.000383,-0.029621,0.019985,0.037397,0.089959
11,0.091667,181,-0.001368,-0.008924,0.021299,0.030498,0.008487,0.000931,-0.031920,0.022285,0.032469,0.044296
11,0.091667,182,0.001260,-0.009581,0.021628,0.024913,0.006516,0.002245,-0.030935,0.019657,0.033454,0.056122
